172.27.0.4 - - [01/Sep/2020:06:21:59 +0000] "GET / HTTP/1.1" 200 97930 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.27.0.1"
172.28.0.4 - - [01/Sep/2020:06:26:43 +0000] "GET / HTTP/1.1" 200 98047 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.28.0.1"
172.28.0.4 - - [01/Sep/2020:06:28:29 +0000] "GET / HTTP/1.1" 200 98047 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.28.0.1"
172.28.0.4 - - [01/Sep/2020:06:29:49 +0000] "GET / HTTP/1.1" 200 97172 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0" "172.28.0.1"
172.28.0.4 - - [01/Sep/2020:06:29:49 +0000] "GET /favicon.ico HTTP/1.1" 404 96896 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0" "172.28.0.1"
172.28.0.4 - - [01/Sep/2020:06:32:04 +0000] "GET / HTTP/1.1" 200 98047 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.28.0.1"
172.29.0.4 - - [01/Sep/2020:06:34:04 +0000] "GET / HTTP/1.1" 200 98046 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.29.0.1"
172.29.0.4 - - [01/Sep/2020:06:34:14 +0000] "GET / HTTP/1.1" 200 97344 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:80.0) Gecko/20100101 Firefox/80.0" "172.29.0.1"
172.30.0.4 - - [01/Sep/2020:07:38:11 +0000] "GET / HTTP/1.1" 500 5 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:39:25 +0000] "GET / HTTP/1.1" 404 27 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:39:53 +0000] "GET /public HTTP/1.1" 404 27 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:40:31 +0000] "GET / HTTP/1.1" 403 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:40:31 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "https://myweb.test/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:40:43 +0000] "GET /public HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:40:44 +0000] "GET /public/ HTTP/1.1" 500 522803 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:45:08 +0000] "GET /public/ HTTP/1.1" 500 522841 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:52:29 +0000] "GET /public/ HTTP/1.1" 500 522818 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:52:51 +0000] "GET /public/ HTTP/1.1" 500 522810 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:54:50 +0000] "GET /public/ HTTP/1.1" 200 2438 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:56:08 +0000] "GET / HTTP/1.1" 403 555 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.30.0.4 - - [01/Sep/2020:07:56:57 +0000] "GET /public/ HTTP/1.1" 200 2438 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.30.0.1"
172.31.0.3 - - [01/Sep/2020:07:57:17 +0000] "GET /public/ HTTP/1.1" 404 1564 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.83 Safari/537.36" "172.31.0.1"
